2026-04-11 20:21:40.686860: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775938900.708604    9150 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775938900.717085    9150 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775938900.734410    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734443    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734513    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734544    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
Starting 3m MAPPO Baseline...
Step   622592 | Return:       1.56 | Win Rate:  0.62 | Loss:     0.0292 | Ent:   0.1862 | GradN(actor/critic):   0.1131/  0.4534 | pair_cos(all/ff/nff):  0.5544/ 0.5708/ 0.5437 | ff_frac: 0.3960
Step   638976 | Return:       1.60 | Win Rate:  0.65 | Loss:     0.0266 | Ent:   0.1766 | GradN(actor/critic):   0.0757/  0.3514 | pair_cos(all/ff/nff):  0.5576/ 0.5677/ 0.5509 | ff_frac: 0.3970
Step   655360 | Return:       1.56 | Win Rate:  0.61 | Loss:     0.0274 | Ent:   0.1721 | GradN(actor/critic):   0.0959/  0.4131 | pair_cos(all/ff/nff):  0.5633/ 0.5816/ 0.5512 | ff_frac: 0.4001
Step   671744 | Return:       1.58 | Win Rate:  0.63 | Loss:     0.0276 | Ent:   0.1729 | GradN(actor/critic):   0.1248/  0.2553 | pair_cos(all/ff/nff):  0.5649/ 0.5872/ 0.5502 | ff_frac: 0.3982
Step   688128 | Return:       1.59 | Win Rate:  0.64 | Loss:     0.0286 | Ent:   0.1755 | GradN(actor/critic):   0.1701/  0.3505 | pair_cos(all/ff/nff):  0.5661/ 0.5873/ 0.5519 | ff_frac: 0.4003
Step   704512 | Return:       1.61 | Win Rate:  0.66 | Loss:     0.0255 | Ent:   0.1617 | GradN(actor/critic):   0.0915/  0.2834 | pair_cos(all/ff/nff):  0.5631/ 0.5832/ 0.5494 | ff_frac: 0.4048
Step   720896 | Return:       1.61 | Win Rate:  0.66 | Loss:     0.0253 | Ent:   0.1537 | GradN(actor/critic):   0.1237/  0.2611 | pair_cos(all/ff/nff):  0.5685/ 0.5881/ 0.5548 | ff_frac: 0.4135
Step   737280 | Return:       1.61 | Win Rate:  0.66 | Loss:     0.0246 | Ent:   0.1490 | GradN(actor/critic):   0.1016/  0.2164 | pair_cos(all/ff/nff):  0.5779/ 0.5964/ 0.5649 | ff_frac: 0.4131
Step   753664 | Return:       1.59 | Win Rate:  0.64 | Loss:     0.0265 | Ent:   0.1467 | GradN(actor/critic):   0.1025/  0.3343 | pair_cos(all/ff/nff):  0.5833/ 0.6025/ 0.5701 | ff_frac: 0.4067
Step   770048 | Return:       1.59 | Win Rate:  0.65 | Loss:     0.0274 | Ent:   0.1442 | GradN(actor/critic):   0.1122/  0.2542 | pair_cos(all/ff/nff):  0.5732/ 0.5912/ 0.5608 | ff_frac: 0.4069
Step   786432 | Return:       1.60 | Win Rate:  0.65 | Loss:     0.0268 | Ent:   0.1371 | GradN(actor/critic):   0.1159/  0.3432 | pair_cos(all/ff/nff):  0.5648/ 0.5847/ 0.5511 | ff_frac: 0.4066
Step   802816 | Return:       1.61 | Win Rate:  0.66 | Loss:     0.0267 | Ent:   0.1328 | GradN(actor/critic):   0.1620/  0.3809 | pair_cos(all/ff/nff):  0.5610/ 0.5750/ 0.5511 | ff_frac: 0.4150
Step   819200 | Return:       1.63 | Win Rate:  0.68 | Loss:     0.0276 | Ent:   0.1348 | GradN(actor/critic):   0.1226/  0.3860 | pair_cos(all/ff/nff):  0.5562/ 0.5697/ 0.5467 | ff_frac: 0.4156
Step   835584 | Return:       1.61 | Win Rate:  0.66 | Loss:     0.0277 | Ent:   0.1398 | GradN(actor/critic):   0.0970/  0.3379 | pair_cos(all/ff/nff):  0.5555/ 0.5650/ 0.5488 | ff_frac: 0.4150
Step   851968 | Return:       1.64 | Win Rate:  0.69 | Loss:     0.0272 | Ent:   0.1405 | GradN(actor/critic):   0.1517/  0.3280 | pair_cos(all/ff/nff):  0.5567/ 0.5675/ 0.5490 | ff_frac: 0.4222
